accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-10 21:10,臺北市中正區愛國東路18號前0公尺數臺北市中正區愛國東路18號前,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-15 19:20,臺北市中正區羅斯福路前0公尺數臺北市中正區羅斯福路與愛國東路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-31 01:15,臺北市大安區愛國東路前0公尺數臺北市大安區愛國東路與杭州南路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-02-22 18:30,臺北市中正區中山南路前0公尺數臺北市中正區中山南路與愛國東路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-02-27 17:32,臺北市大安區金山南路2段前0公尺數臺北市大安區金山南路2段與愛國東路口,deaths: 0;injured: 1,自用-小客車
A2,2016-03-16 21:29,臺北市大安區杭州南路2段前0公尺數臺北市大安區杭州南路2段與愛國東路口,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2016-05-12 10:05,臺北市大安區愛國東路前0公尺數與杭州南路2段口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-06-22 13:25,臺北市中正區中山南路前0公尺數與愛國東路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-07-15 08:25,臺北市大安區金山南路1段前0公尺數與愛國東路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-07-15 17:45,臺北市中正區中山南路前0公尺數與愛國東路口,deaths: 0;injured: 1,腳踏自行車-慢車
A2,2016-07-17 10:46,臺北市大安區金山南路2段前0公尺數與愛國東路口,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2016-07-25 16:00,臺北市中正區中山南路前0公尺數與愛國東路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-08-20 16:00,臺北市中正區中山南路前0公尺數與愛國東路口,deaths: 0;injured: 1,腳踏自行車-慢車;自用-小客車
A2,2016-08-23 22:23,臺北市大安區愛國東路35號前0公尺數35號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-08-30 08:02,臺北市大安區愛國東路246號前0公尺數246號,deaths: 0;injured: 1,自用-小客車;大型重型2-機車
