accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-04 12:20,臺北市松山區八德路4段135號前0公尺數臺北市松山區八德路4段135號,deaths: 0;injured: 1,自用-小客車;計程車-小客車;自用-小客車
A2,2016-01-06 09:00,臺北市南港區八德路4段前0公尺數臺北市南港區八德路4段與玉成街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-13 08:30,臺北市松山區八德路4段318號前0公尺數臺北市松山區八德路4段318號,deaths: 0;injured: 2,自用-小貨車;普通重型-機車;普通重型-機車
A2,2016-01-16 17:42,臺北市松山區八德路4段前0公尺數臺北市松山區八德路4段與松山路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-24 12:35,臺北市松山區八德路4段147號前0公尺數臺北市松山區八德路4段147號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-26 23:00,臺北市松山區八德路4段306號前0公尺數臺北市松山區八德路4段306號,deaths: 0;injured: 2,普通重型-機車;普通輕型-機車
A2,2016-01-30 08:00,臺北市松山區八德路4段前0公尺數臺北市松山區八德路4段與松信路口,deaths: 0;injured: 1,自用-小客車;民營客運-大客車;普通重型-機車
A2,2016-02-03 14:10,臺北市松山區八德路4段401號前0公尺數臺北市松山區八德路4段401號與基隆路1段口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-02-13 15:15,臺北市松山區八德路4段前0公尺數臺北市松山區八德路4段與東興路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-20 09:45,臺北市松山區八德路4段前0公尺數臺北市松山區八德路4段與東興路口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-02-28 07:40,臺北市松山區八德路4段前0公尺數臺北市松山區八德路4段與松山路口,deaths: 0;injured: 1,腳踏自行車-慢車;普通重型-機車
A2,2016-02-28 15:58,臺北市松山區八德路4段前0公尺數臺北市松山區八德路4段與虎林街口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;其他人-人
A2,2016-03-01 20:48,臺北市松山區八德路4段226號前0公尺數臺北市松山區八德路4段226號,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-03-08 17:07,臺北市南港區八德路4段前0公尺數臺北市南港區八德路4段與中坡北路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
