accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-20 17:06,臺北市中正區寶慶路前0公尺數臺北市中正區寶慶路與桃源街口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-01-29 22:25,臺北市中正區寶慶路25號前0公尺數臺北市中正區寶慶路25號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-02-13 10:15,臺北市中正區重慶南路1段前0公尺數臺北市中正區重慶南路1段與寶慶路口,deaths: 0;injured: 1,普通重型-機車;大型重型1-機車
A2,2016-02-20 22:25,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與寶慶路口,deaths: 0;injured: 1,行人-人;自用-小客車
A2,2016-03-07 22:58,臺北市中正區寶慶路前0公尺數臺北市中正區寶慶路與延平南路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-27 19:43,臺北市中正區博愛路前0公尺數臺北市中正區博愛路與寶慶路口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-04-08 22:11,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與寶慶路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-05-14 18:15,臺北市中正區中華路1段前0公尺數與寶慶路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-06-07 08:15,臺北市中正區桃源街前0公尺數與寶慶路口,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-06-08 18:10,臺北市中正區寶慶路前0公尺數與桃源街口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-06-29 14:03,臺北市中正區延平南路前0公尺數與寶慶路口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-07-06 14:35,臺北市中正區重慶南路1段前0公尺數與寶慶路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-07-11 09:50,臺北市中正區重慶南路1段前0公尺數與寶慶路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-08-12 20:45,臺北市中正區重慶南路1段前0公尺數與寶慶路口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-08-29 13:17,臺北市中正區延平南路前0公尺數與寶慶路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-08-30 18:25,臺北市中正區博愛路前0公尺數與寶慶路口,deaths: 0;injured: 1,其他人-人;普通重型-機車;其他人-人
A2,2016-09-16 10:30,臺北市中正區中華路1段前0公尺數與寶慶路口,deaths: 0;injured: 3,其他人-人;普通重型-機車;其他人-人
A2,2016-10-21 13:00,臺北市中正區懷寧街前0公尺數與寶慶路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-11-01 11:30,臺北市中正區懷寧街前0公尺數與寶慶路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-11-06 16:58,臺北市中正區中華路1段前0公尺數與寶慶路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-11-30 11:40,臺北市中正區重慶南路1段前0公尺數與寶慶路口,deaths: 0;injured: 1,計程車-小客車;行人-人
A1,2015-07-18 01:15,臺北市中正區中華路寶慶路(口)中華路 寶慶路,deaths: 1;injured: 0,租賃車-小客車;普通重型-機車
A2,2014-01-16 21:15,臺北市中正區重慶南路寶慶路(口)重慶南路 寶慶路,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2014-01-20 02:04,臺北市中正區中華路1段寶慶路(口)中華路1段 寶慶路,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2014-02-11 01:30,臺北市中正區延平南路寶慶路(口)延平南路 寶慶路,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2014-02-14 16:10,臺北市中正區懷寧街寶慶路(口)懷寧街 寶慶路,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2014-03-10 19:05,臺北市中正區寶慶路(口)重慶南路1段 寶慶路,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2014-03-11 17:00,臺北市中正區懷寧街寶慶路(口)懷寧街 寶慶路,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-03-22 21:30,臺北市中正區寶慶路寶慶路 重慶南路1段,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-03-25 17:30,臺北市中正區中華路1段寶慶路(口)中華路1段 寶慶路,deaths: 0;injured: 5,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車
A2,2014-03-28 08:00,臺北市中正區寶慶路(口)重慶南路1段 寶慶路,deaths: 0;injured: 1,自用-小客車;普通輕型-機車
A2,2014-04-04 08:20,臺北市中正區延平南路寶慶路(口)延平南路 寶慶路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-04-08 13:50,臺北市中正區寶慶路延平南路(口)寶慶路 延平南路,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2014-04-08 23:50,臺北市中正區桃源街寶慶路(口)桃源街 寶慶路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-04-17 19:42,臺北市中正區重南路寶慶路(口)重南路 寶慶路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-04-21 10:50,臺北市中正區中華路寶慶路(口)中華路 寶慶路,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2014-05-12 16:26,臺北市中正區博愛路寶慶路(口)博愛路 寶慶路,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-05-29 09:10,臺北市中正區懷寧街寶慶路(口)懷寧街 寶慶路,deaths: 0;injured: 1,自用-小客車;普通重型-機車;普通重型-機車
A2,2014-06-25 16:40,臺北市中正區延平南路寶慶路(口)延平南路 寶慶路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
