accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-06 08:39,臺北市士林區前0公尺數臺北市士林區承德橋(北往南)014號燈桿,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;自用-小客車
A2,2016-01-06 09:08,臺北市士林區承德路4段前0公尺數臺北市士林區承德路4段承德橋往南,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-15 08:12,臺北市大同區前0公尺數臺北市大同區承德橋下迴轉道,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-02-03 09:50,臺北市大同區承德橋路前0公尺數臺北市大同區承德橋往南,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-02-10 08:46,臺北市大同區承德橋路2段前0公尺數臺北市大同區承德橋2段與南京西路口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-02-23 07:40,臺北市士林區承德橋路前0公尺數臺北市士林區承德橋往南第二燈桿,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-03-07 11:00,臺北市士林區承德路4段前0公尺數臺北市士林區承德路4段承德橋,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-03-20 11:10,臺北市士林區承德橋路前0公尺數臺北市士林區承德橋009號燈桿,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2016-04-12 01:10,臺北市大同區前0公尺數臺北市大同區承德橋往,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;其他人-人
A2,2016-05-10 14:36,臺北市士林區承德橋路前0公尺數往大同,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-07-09 15:56,臺北市大同區承德橋道路前0公尺數南往北機車道2號燈桿,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-07-22 09:25,臺北市大同區承德橋道路前0公尺數往南下橋,deaths: 0;injured: 2,自用-小客車;租賃車-小客車;租賃車-小客車;租賃車-小客車
A2,2016-09-13 22:05,臺北市士林區承德橋道路前0公尺數與通河街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
