accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-09 09:31,臺北市大同區南京西路前0公尺數臺北市大同區南京西路與承德路1段口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-01-28 15:40,臺北市大同區承德路1段1號前0公尺數臺北市大同區承德路1段1號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-03-25 15:35,臺北市大同區市民大道1段前0公尺數臺北市大同區市民大道1段與承德路1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-04-09 07:10,臺北市大同區承德路1段前0公尺數臺北市大同區承德路1段與鄭州路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-04-14 18:50,臺北市大同區承德路1段3號前0公尺數臺北市大同區承德路1段3號,deaths: 0;injured: 1,民營客運-大客車;普通重型-機車
A2,2016-04-16 08:18,臺北市大同區承德路1段前0公尺數臺北市大同區承德路1段與長安西路口,deaths: 0;injured: 1,民營客運-大客車;行人-人
A2,2016-04-17 20:53,臺北市大同區承德路1段前0公尺數臺北市大同區承德路1段與南京西路口,deaths: 0;injured: 2,行人-人;普通重型-機車
A2,2016-04-22 09:50,臺北市大同區南京西路前0公尺數臺北市大同區南京西路與承德路1段口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-04-27 19:30,臺北市大同區承德路1段前0公尺數臺北市大同區承德路1段與鄭州路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-29 19:00,臺北市大同區承德路1段前0公尺數臺北市大同區承德路1段與長安西路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-04-29 20:00,臺北市大同區承德路1段前0公尺數臺北市大同區承德路1段與長安西路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-05 09:36,臺北市大同區承德路1段前0公尺數與錦西街口,deaths: 0;injured: 1,自用-小貨車;行人-人
A2,2016-05-16 19:59,臺北市大同區承德路1段47號前0公尺數47號,deaths: 0;injured: 2,人力車-慢車;普通重型-機車
A2,2016-05-25 13:44,臺北市大同區市民大道1段前0公尺數與承德路1段口,deaths: 0;injured: 2,計程車-小客車;普通重型-機車;普通重型-機車
