accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-02 11:24,臺北市中正區公園路前0公尺數臺北市中正區公園路與貴陽街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-04 08:30,臺北市中正區公園路前0公尺數臺北市中正區公園路與信陽街口,deaths: 0;injured: 2,自用-小客車;普通輕型-機車;自用-小客車
A2,2016-01-07 18:30,臺北市士林區百齡左岸公園路前0公尺數臺北市士林區百齡左岸河濱公園,deaths: 0;injured: 1,普通重型-機車;租賃車-小客車
A2,2016-01-09 10:50,臺北市文山區景美河濱公園路前0公尺數臺北市文山區景美河濱公園燈桿36號,deaths: 0;injured: 1,腳踏自行車-慢車;行人-人
A2,2016-01-18 11:10,臺北市中正區公園路前0公尺數臺北市中正區公園路與襄陽路口,deaths: 0;injured: 1,行人-人;普通輕型-機車
A2,2016-01-18 20:58,臺北市中正區公園路前0公尺數臺北市中正區公園路與凱達格蘭大道口,deaths: 0;injured: 1,救護車-特種車;自用-小客車
A2,2016-01-26 13:47,臺北市中正區公園路前0公尺數臺北市中正區公園路與凱達格蘭大道口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-26 21:10,臺北市中正區公園路前0公尺數臺北市中正區公園路與信陽街口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-31 15:00,臺北市文山區景美河濱公園路前0公尺數臺北市文山區景美河濱公園堤外便道第035電桿,deaths: 0;injured: 1,腳踏自行車-慢車;行人-人
A2,2016-02-01 06:57,臺北市中正區貴陽街1段前0公尺數公園路路口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-02-02 10:57,臺北市中正區公園路38號前0公尺數臺北市中正區公園路38號,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-02-11 16:40,臺北市松山區迎風河濱公園路前0公尺數臺北市松山區迎風河濱公園,deaths: 0;injured: 1,其他車-其他車;腳踏自行車-慢車
A2,2016-02-27 13:25,臺北市中正區公園路前0公尺數臺北市中正區公園路與凱達格蘭大道口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-04 17:53,臺北市中正區公園路64號前0公尺數臺北市中正區公園路64號,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-03-22 08:59,臺北市中正區公園路前0公尺數臺北市中正區公園路與襄陽路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-30 16:30,臺北市文山區景美河濱公園路前0公尺數臺北市文山區景美河濱公園第18號燈桿,deaths: 0;injured: 2,腳踏自行車-慢車;腳踏自行車-慢車
A2,2016-04-02 22:15,臺北市文山區景美河濱公園路前0公尺數臺北市文山區景美河濱公園自行車道,deaths: 0;injured: 1,其他人-人;腳踏自行車-慢車
A2,2016-04-06 10:40,臺北市中正區公園路前0公尺數臺北市中正區公園路與常德街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車;計程車-小客車
A2,2016-04-08 13:17,臺北市中正區公園路前0公尺數臺北市中正區公園路與貴陽街1段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-04-10 19:47,臺北市中正區公園路32號前0公尺數臺北市中正區公園路32號對面,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-18 19:07,臺北市中正區公園路前0公尺數臺北市中正區公園路與信陽街口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車;計程車-小客車
A2,2016-04-20 07:50,臺北市中正區公園路15-號前0公尺數臺北市中正區公園路15-1號,deaths: 0;injured: 3,行人-人;普通重型-機車;其他人-人
