accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-07 11:50,臺北市大安區光復南路前0公尺數臺北市大安區光復南路與忠孝東路口,deaths: 0;injured: 1,遊覽車-大客車;普通重型-機車
A2,2016-01-09 19:55,臺北市松山區八德路3段前0公尺數臺北市松山區八德路3段與光復南路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車;自用-小客車
A2,2016-01-10 03:30,臺北市大安區光復南路430號前0公尺數臺北市大安區光復南路430號,deaths: 0;injured: 1,普通重型-機車;普通輕型-機車;自用-小客車
A2,2016-01-12 07:50,臺北市信義區光復南路421號前0公尺數臺北市信義區光復南路421號,deaths: 0;injured: 1,普通輕型-機車;租賃車-小客車
A2,2016-01-14 11:05,臺北市松山區光復南路1號前0公尺數臺北市松山區光復南路1號前,deaths: 0;injured: 1,營業用-小貨車;普通重型-機車
A2,2016-01-14 13:20,臺北市信義區光復南路479號前0公尺數臺北市信義區光復南路479號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-16 21:30,臺北市大安區光復南路286號前0公尺數臺北市大安區光復南路286號,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-01-17 15:15,臺北市信義區市民大道4段前0公尺數臺北市信義區市民大道4段與光復南路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-23 08:30,臺北市信義區光復南路463號前0公尺數臺北市信義區光復南路463-1號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車;自用-小貨車;自用-小客車
A2,2016-01-26 13:03,臺北市信義區光復南路431號前0公尺數臺北市信義區光復南路431號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-28 14:21,臺北市信義區市民大道5段前0公尺數臺北市信義區市民大道5段與光復南路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-30 00:30,臺北市信義區基隆路2段前0公尺數臺北市信義區基隆路2段與光復南路口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-02-15 18:10,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與光復南路口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-02-16 09:25,臺北市松山區八德路3段前0公尺數臺北市松山區八德路3段與光復南路口,deaths: 0;injured: 4,計程車-小客車;普通重型-機車;普通重型-機車;普通重型-機車;民營公車-大客車;普通重型-機車
A2,2016-02-20 23:30,臺北市大安區忠孝東路4段前0公尺數臺北市大安區忠孝東路4段與光復南路口,deaths: 0;injured: 1,計程車-小客車;計程車-小客車
A2,2016-02-21 08:30,臺北市信義區市民大道5段前0公尺數臺北市信義區市民大道5段與光復南路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-02-22 22:10,臺北市大安區光復南路前0公尺數臺北市大安區光復南路與文昌街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-24 17:52,臺北市信義區光復南路525號前0公尺數臺北市信義區光復南路525號,deaths: 0;injured: 1,自用-小客車;自用-小客車
A2,2016-02-26 09:00,臺北市大安區忠孝東路4段前0公尺數臺北市大安區忠孝東路4段與光復南路口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-02-26 16:33,臺北市信義區光復南路前0公尺數臺北市信義區光復南路與基隆路2段口,deaths: 0;injured: 1,計程車-小客車;腳踏自行車-慢車
A2,2016-03-03 12:18,臺北市信義區市民大道5段前0公尺數臺北市信義區市民大道5段與光復南路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-07 14:02,臺北市信義區市民大道5段前0公尺數臺北市信義區市民大道5段與光復南路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-09 18:29,臺北市大安區信義路4段前0公尺數臺北市大安區信義路4段與光復南路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-03-10 22:35,臺北市松山區市民大道4段前0公尺數臺北市松山區市民大道4段與光復南路口,deaths: 0;injured: 2,計程車-小客車;普通重型-機車;普通重型-機車
A2,2016-03-11 18:40,臺北市大安區忠孝東路4段前0公尺數臺北市大安區忠孝東路4段與光復南路口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
