accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-28 19:05,臺北市中正區信義路1段前0公尺數臺北市中正區信義路1段與杭州南路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-16 21:29,臺北市大安區杭州南路2段前0公尺數臺北市大安區杭州南路2段與愛國東路口,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2016-04-23 20:00,臺北市中正區信義路1段前0公尺數臺北市中正區信義路1段與杭州南路2段口,deaths: 0;injured: 1,普通輕型-機車;普通重型-機車
A2,2016-05-12 10:05,臺北市大安區愛國東路前0公尺數與杭州南路2段口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-05-29 15:25,臺北市中正區仁愛路1段前0公尺數與杭州南路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-17 21:25,臺北市中正區羅斯福路2段前0公尺數與杭州南路2段口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-08-18 21:08,臺北市中正區前0公尺數杭州南路2段中正紀念堂後方,deaths: 0;injured: 1,腳踏自行車-慢車
A2,2016-08-27 12:19,臺北市中正區杭州南路2段前0公尺數中正紀念堂後方紅磚道,deaths: 0;injured: 1,腳踏自行車-慢車;行人-人
A2,2016-08-29 17:20,臺北市中正區仁愛路2段前0公尺數與杭州南路2段口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-09-23 11:08,臺北市大安區杭州南路2段前0公尺數與金華街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-09-25 08:40,臺北市大安區杭州南路2段91號前0公尺數91號,deaths: 0;injured: 1,自用-小貨車;普通輕型-機車
A2,2016-10-04 18:20,臺北市中正區杭州南路2段前0公尺數與潮州街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-10-15 21:16,臺北市中正區羅斯福路2段前0公尺數與杭州南路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-11-11 07:45,臺北市大安區愛國東路前0公尺數與杭州南路2段口,deaths: 0;injured: 1,普通重型-機車
A2,2014-01-17 18:30,臺北市大安區杭州南路2段7號,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2014-03-24 08:05,臺北市中正區杭州南路2段52之2號,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-04-17 21:13,臺北市中正區羅斯福路2段 杭州南路2段,deaths: 0;injured: 1,自用-小客車;自用-小客車;普通重型-機車
A2,2014-08-28 08:50,臺北市中正區愛國東路(口)杭州南路2段 愛國東路,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2015-06-11 07:00,臺北市大安區杭州南路2段1號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2015-11-20 21:14,臺北市中正區愛國東路愛國東路 杭州南路2段,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2015-12-27 19:30,臺北市大安區杭州南路2段31號,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A1,2016-08-17 15:28,臺北市中正區愛國東路前0公尺數與杭州南路2段口,deaths: 1;injured: 0,民營公車-大客車;腳踏自行車-慢車
A2,2013-02-05 20:10,臺北市中正區愛國東路愛國東路 杭州南路2段,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2013-06-17 18:10,臺北市大安區杭州南路2段5號,deaths: 0;injured: 1,普通輕型-機車;自用-小客車;普通重型-機車
A2,2013-09-27 07:30,臺北市大安區杭州南路2段1號前,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2013-10-04 22:10,臺北市中正區信義路1段信義路1段 杭州南路2段,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2013-10-15 08:11,臺北市大安區杭州南路2段73號,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2013-12-19 21:33,臺北市中正區杭州南路2段72號,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2012-01-17 08:20,臺北市中正區杭州南路2段,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2012-05-04 06:10,臺北市大安區潮州街(口)杭州南路2段 潮州街,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2012-12-05 17:38,臺北市大安區杭州南路2段95號,deaths: 0;injured: 1,腳踏自行車-慢車;行人-人
