accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-17 22:33,臺北市大安區和平東路1段123號前0公尺數臺北市大安區和平東路1段123號,deaths: 0;injured: 2,計程車-小客車;普通重型-機車;普通重型-機車
A2,2016-01-19 18:35,臺北市大安區和平東路1段111號前0公尺數臺北市大安區和平東路1段111號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-27 19:10,臺北市大安區和平東路1段6號前0公尺數臺北市大安區和平東路1段6號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車
A2,2016-01-30 06:00,臺北市大安區和平東路1段71號前0公尺數臺北市大安區和平東路1段71號,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2016-02-02 05:47,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與師大路口,deaths: 0;injured: 1,其他車-其他車;計程車-小客車;腳踏自行車-慢車;其他車-其他車
A2,2016-02-22 15:53,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與羅斯福路2段口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車;自用-小客車
A2,2016-03-16 18:15,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與新生南路2段口,deaths: 0;injured: 3,其他車-其他車;普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-03-17 16:50,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與青田街口,deaths: 0;injured: 1,普通重型-機車;自用-小貨車
A2,2016-03-19 22:59,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與青田街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-19 23:25,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與溫州街口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-23 13:00,臺北市大安區和平東路1段218號前0公尺數臺北市大安區和平東路1段218號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-04-16 09:53,臺北市大安區和平東路1段8號前0公尺數臺北市大安區和平東路1段8號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-04-16 22:30,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與師大路口,deaths: 0;injured: 1,普通重型-機車;普通輕型-機車;普通重型-機車
A2,2016-04-18 08:46,臺北市大安區和平東路1段前0公尺數臺北市大安區和平東路1段與金山南路2段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-05-15 08:59,臺北市大安區和平東路1段162號前0公尺數162號,deaths: 0;injured: 1,自用-小客車;自用-小客車;普通重型-機車
A2,2016-05-27 22:14,臺北市大安區和平東路1段前0公尺數與師大路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-05-28 19:10,臺北市大安區和平東路1段前0公尺數與金山南路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-05 05:47,臺北市大安區和平東路1段179號前0公尺數179號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-18 08:45,臺北市大安區和平東路1段187號前0公尺數187-8號前人行道,deaths: 0;injured: 1,腳踏自行車-慢車;行人-人
A2,2016-06-27 10:50,臺北市大安區和平東路1段前0公尺數與羅斯福路2段口,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-07-11 06:57,臺北市大安區和平東路1段前0公尺數與羅斯福路2段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-07-17 12:44,臺北市大安區和平東路1段前0公尺數與師大路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-07-22 03:58,臺北市大安區和平東路1段前0公尺數與新生南路1段口,deaths: 0;injured: 1,普通重型-機車
A2,2016-07-31 18:58,臺北市大安區和平東路1段179號前0公尺數179號,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-07-31 21:38,臺北市大安區和平東路1段前0公尺數與溫州街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-08-18 11:31,臺北市大安區和平東路1段前0公尺數與溫州街口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-08-23 15:20,臺北市大安區和平東路1段前0公尺數與羅斯福路2段口,deaths: 0;injured: 3,自用-小貨車;小型輕型-機車;計程車-小客車;普通重型-機車;普通重型-機車
A2,2016-08-25 17:45,臺北市大安區和平東路1段278號前0公尺數278號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-08-26 07:00,臺北市大安區金山南路2段前0公尺數與和平東路1段口,deaths: 0;injured: 1,自用-小貨車;自用-小貨車
A2,2016-08-31 19:55,臺北市大安區和平東路1段前0公尺數與新生南路3段口,deaths: 0;injured: 2,普通重型-機車;自用-小客車;普通重型-機車
A2,2016-09-09 15:10,臺北市大安區和平東路1段前0公尺數與新生南路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-09-25 12:30,臺北市大安區羅斯福路2段前0公尺數與和平東路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-09-30 14:35,臺北市大安區和平東路1段前0公尺數與溫州街口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-10-02 15:01,臺北市大安區和平東路1段129號前0公尺數129號,deaths: 0;injured: 2,計程車-小客車;自用-小客車;自用-小客車
A2,2016-10-04 18:10,臺北市大安區和平東路1段前0公尺數與青田街口,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2016-10-11 07:15,臺北市大安區和平東路1段前0公尺數與師大路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-10-16 09:32,臺北市大安區和平東路1段2號前0公尺數2號,deaths: 0;injured: 1,自用-小貨車;行人-人
A2,2016-10-18 20:30,臺北市大安區和平東路1段前0公尺數與師大路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車
A2,2016-11-07 21:50,臺北市大安區和平東路1段前0公尺數與師大路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
