accident_type,accident_time,accident_location,casualties,car_type
A2,2016-02-13 15:05,臺北市中山區民權東路3段前0公尺數臺北市中山區民權東路3段與建國北路3段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-19 16:15,臺北市中山區建國北路3段前0公尺數臺北市中山區建國北路3段與農安街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-28 08:13,臺北市中山區建國北路3段前0公尺數臺北市中山區建國北路3段與松江路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-04-06 17:25,臺北市中山區建國北路3段前0公尺數臺北市中山區建國北路3段與松江路口,deaths: 0;injured: 1,自用-小客車;自用-小客車
A2,2016-04-08 13:10,臺北市中山區建國北路3段前0公尺數臺北市中山區建國北路3段與民權東路2段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-05-25 13:00,臺北市中山區建國北路3段79號前0公尺數79號,deaths: 0;injured: 1,營業用-小貨車;普通重型-機車
A2,2016-06-03 19:18,臺北市中山區民權東路3段前0公尺數與建國北路3段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-09 16:54,臺北市中山區建國北路3段79號前0公尺數79號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-06-11 11:48,臺北市中山區建國北路3段前0公尺數與五常街口,deaths: 0;injured: 1,計程車-小客車;腳踏自行車-慢車
A2,2016-06-19 21:15,臺北市中山區建國北路3段96號前0公尺數96號,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-07-14 06:55,臺北市中山區建國北路3段28號前0公尺數28號前,deaths: 0;injured: 1,自用-小客車;自用-小貨車
A2,2016-08-29 18:10,臺北市中山區建國北路3段前0公尺數與農安街橋下迴轉道口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-09-01 16:38,臺北市中山區民族東路前0公尺數與建國北路3段口,deaths: 0;injured: 1,計程車-小客車;大型重型2-機車
A2,2016-09-04 17:40,臺北市中山區建國北路3段前0公尺數與五常街口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-09-06 22:00,臺北市中山區民權東路3段前0公尺數與建國北路3段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-09-13 15:10,臺北市中山區建國北路3段前0公尺數與民權東路3段口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-09-16 05:56,臺北市中山區建國北路3段141號前0公尺數141號前,deaths: 0;injured: 1,計程車-小客車;普通輕型-機車;計程車-小客車;普通重型-機車
A2,2016-09-29 21:50,臺北市中山區建國北路3段前0公尺數與五常街口,deaths: 0;injured: 1,普通輕型-機車;普通重型-機車
A2,2016-10-30 22:45,臺北市中山區建國北路3段91號前0公尺數91號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-11-02 11:42,臺北市中山區建國北路3段96號前0公尺數96號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-11-03 13:25,臺北市中山區建國北路3段91號前0公尺數91號前,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-11-09 07:47,臺北市中山區建國北路3段前0公尺數與農安街口,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-11-17 19:26,臺北市中山區民權東路3段前0公尺數與建國北路3段北側迴轉道口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2014-02-08 17:10,臺北市中山區農安街(口)建國北路3段 農安街,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-03-14 20:10,臺北市中山區建國北路3段115號,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2014-03-27 08:15,臺北市中山區建國北路3段4號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-04-21 18:50,臺北市中山區民權東路3段 建國北路3段,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2014-09-13 16:02,臺北市中山區民權東路3段 建國北路3段,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-09-21 07:59,臺北市中山區農安街(口)建國北路3段 農安街,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-09-21 10:02,臺北市中山區建國北路3段55號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2014-10-17 18:12,臺北市中山區建國北路3段91-1號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-10-24 12:50,臺北市中山區建國北路3段77號前,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-11-24 17:00,臺北市中山區建國北路3段77號前,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-12-01 00:08,臺北市中山區農安街(口)建國北路3段 農安街,deaths: 0;injured: 1,行人-人;自用-小客車
A2,2014-12-13 06:16,臺北市中山區建國北路3段44號,deaths: 0;injured: 1,普通重型-機車;租賃車-小客車
A2,2014-12-25 12:20,臺北市中山區農安街(口)建國北路3段 農安街,deaths: 0;injured: 1,普通輕型-機車;自用-小客車
A2,2014-12-27 12:48,臺北市中山區建國北路3段77號,deaths: 0;injured: 1,普通輕型-機車;普通重型-機車
A2,2015-01-25 06:45,臺北市中山區建國北路3段78號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2015-02-14 08:00,臺北市中山區民權東路3段 建國北路3段,deaths: 0;injured: 1,自用-小客車;普通重型-機車
