accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-06 10:21,臺北市松山區健康路131號前0公尺數臺北市松山區健康路131號,deaths: 0;injured: 1,自用-小貨車;行人-人
A2,2016-01-14 11:53,臺北市松山區健康路前0公尺數臺北市松山區健康路與寶清街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-06 02:55,臺北市松山區健康路158號前0公尺數臺北市松山區健康路158號,deaths: 0;injured: 1,計程車-小客車;計程車-小客車
A2,2016-03-10 08:10,臺北市內湖區麥帥二橋路前0公尺數臺北市內湖區麥帥二橋往健康路方向上橋處口,deaths: 0;injured: 2,自用-小客車;自用-小客車;計程車-小客車;計程車-小客車
A2,2016-03-10 17:21,臺北市松山區南京東路4段前0公尺數臺北市松山區南京東路4段與健康路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-03-14 14:30,臺北市松山區健康路174號前0公尺數臺北市松山區健康路174號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-18 12:35,臺北市松山區南京東路4段前0公尺數臺北市松山區南京東路4段與健康路北寧路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-06-03 12:35,臺北市松山區健康路前0公尺數與三民路口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-06-17 16:50,臺北市松山區光復北路前0公尺數與健康路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車;普通重型-機車
A2,2016-07-09 05:04,臺北市松山區健康路191號前0公尺數191號,deaths: 0;injured: 1,普通重型-機車
A2,2016-08-05 15:56,臺北市松山區健康路399號前0公尺數399號對面,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-08-16 17:42,臺北市松山區健康路158號前0公尺數158號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-09-04 09:35,臺北市松山區光復北路前0公尺數與健康路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-09-08 19:18,臺北市松山區塔悠路前0公尺數與健康路口,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2016-09-09 19:18,臺北市松山區健康路前0公尺數與三民路口,deaths: 0;injured: 1,普通輕型-機車
A2,2016-09-19 18:10,臺北市松山區健康路前0公尺數與寶清街口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-09-21 16:33,臺北市松山區南京東路4段前0公尺數與健康路口,deaths: 0;injured: 2,普通重型-機車;自用-小客車;普通重型-機車
A2,2016-10-14 12:00,臺北市松山區健康路前0公尺數與塔悠路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-10-16 14:48,臺北市松山區健康路162號前0公尺數162號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-10-19 09:50,臺北市松山區光復北路前0公尺數與健康路口,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-11-17 21:50,臺北市松山區健康路前0公尺數與光復北路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-11-23 17:25,臺北市松山區健康路133號前0公尺數133號,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2014-01-02 06:35,臺北市松山區健康路塔悠路(口)健康路 塔悠路,deaths: 0;injured: 1,自用-小貨車;腳踏自行車-慢車
