accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-04 17:20,臺北市信義區松壽路前0公尺數臺北市信義區松壽路與基隆路1段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-05 08:05,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與忠孝東路5段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-05 10:11,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與松壽路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車;普通重型-機車
A2,2016-01-08 10:25,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與基隆路1段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-08 16:50,臺北市信義區基隆路1段333號前0公尺數臺北市信義區基隆路1段333號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-09 18:21,臺北市信義區忠孝東路5段1號前0公尺數臺北市信義區忠孝東路5段1號與基隆路1段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-10 06:45,臺北市信義區信義路5段前0公尺數臺北市信義區信義路5段與基隆路1段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-10 09:39,臺北市信義區基隆路1段333號前0公尺數臺北市信義區基隆路1段333號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-11 13:00,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與松壽路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-12 15:49,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與永吉路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-13 22:00,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與松高路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-14 18:05,臺北市信義區基隆路1段172號前0公尺數臺北市信義區基隆路1段172號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-19 12:57,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與松隆路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-19 23:05,臺北市信義區松壽路前0公尺數臺北市信義區松壽路與基隆路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-20 10:50,臺北市信義區東興路前0公尺數臺北市信義區東興路與基隆路1段口,deaths: 0;injured: 1,普通重型-機車
A2,2016-01-22 10:01,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與忠孝東路5段口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
