accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-06 17:50,臺北市北投區承德路7段前0公尺數臺北市北投區承德路7段與立賢路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-01-19 22:23,臺北市北投區立賢路111號前0公尺數臺北市北投區立賢路111號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-02 22:20,臺北市北投區承德路7段前0公尺數臺北市北投區承德路7段與立賢路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;計程車-小客車;自用-小客車
A2,2016-05-17 17:05,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-05-20 15:40,臺北市北投區立賢路109號前0公尺數109號,deaths: 0;injured: 1,自用-大貨車;自用-小客車
A2,2016-06-08 17:50,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-07-18 17:25,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-08-25 11:32,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-09-02 05:20,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2016-09-05 13:27,臺北市北投區立賢路168號前0公尺數168號,deaths: 0;injured: 1,自用-大貨車;自用-小客車;自用-小貨車;自用-小客車
A2,2016-09-24 19:10,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-11-03 05:55,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2016-11-08 22:44,臺北市北投區立賢路178號前0公尺數178號前,deaths: 0;injured: 1,普通重型-機車
A2,2016-11-09 15:57,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-11-16 10:20,臺北市北投區承德路7段前0公尺數與立賢路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A1,2015-07-19 13:06,臺北市北投區立賢路111號,deaths: 1;injured: 1,自用-小客車;普通重型-機車;普通重型-機車
A2,2014-01-07 17:30,臺北市北投區立賢路77號,deaths: 0;injured: 1,普通重型-機車;動力機械-其他車
A2,2014-01-19 15:50,臺北市北投區立賢路(口)承德路7段往北 立賢路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-01-28 11:06,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2014-02-03 20:17,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,普通重型-機車
A2,2014-02-18 00:52,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-02-23 17:40,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2014-03-06 13:57,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,普通重型-機車
A2,2014-03-10 07:30,臺北市北投區立賢路立賢路 承德路7段227號,deaths: 0;injured: 1,營業用-曳引車;普通重型-機車
A2,2014-03-22 02:25,臺北市北投區立賢路(社子大橋機車專用道),deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2014-03-26 07:50,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-04-25 10:40,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小貨車;行人-人
A2,2014-04-28 10:10,臺北市北投區立賢路295號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-05-03 15:25,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-05-26 10:50,臺北市北投區承德路7段227號(立賢路出口),deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2014-06-01 20:00,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 2,普通重型-機車;自用-小客車;自用-小客車;普通重型-機車
A2,2014-06-12 09:30,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-06-30 13:45,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小客車;普通重型-機車;普通重型-機車
A2,2014-07-09 22:10,臺北市北投區立賢路承德路7段(口)立賢路 承德路7段,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2014-07-13 01:00,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小客車
A2,2014-07-30 08:30,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2014-08-14 13:15,臺北市北投區立賢路第041號燈桿前,deaths: 0;injured: 2,普通重型-機車;行人-人;其他車-其他車
A2,2014-09-01 19:50,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車;普通重型-機車
A2,2014-09-02 15:40,臺北市北投區立賢路（社子大橋下）,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2014-09-19 21:17,臺北市北投區立賢路178號前,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2014-09-20 08:50,臺北市北投區立賢路101號前,deaths: 0;injured: 1,普通重型-機車
A2,2014-10-25 05:45,臺北市北投區承德路立賢路(口)承德路 立賢路,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-10-29 14:40,臺北市北投區立賢路65號,deaths: 0;injured: 2,計程車-小客車;普通重型-機車;普通重型-機車
A2,2014-12-21 19:18,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2014-12-26 15:52,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,租賃車-小客車;行人-人
A2,2015-01-11 18:40,臺北市北投區立賢路21號燈桿,deaths: 0;injured: 1,普通重型-機車
A2,2015-01-12 07:28,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2015-02-12 18:25,臺北市北投區承德路立賢路,deaths: 0;injured: 4,自用-小客車;自用-小客車;自用-小客車;自用-小客車
A2,2015-03-06 16:30,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2015-04-18 10:12,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 2,普通重型-機車;普通輕型-機車
A2,2015-06-23 08:25,臺北市北投區立賢路168號,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2015-06-24 07:24,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2015-06-27 07:50,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2015-07-13 22:55,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2015-07-14 22:16,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-大貨車;普通重型-機車
A2,2015-07-29 18:20,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2015-08-06 20:20,臺北市北投區承德路7段立賢路(口)承德路7段 立賢路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2015-08-17 18:45,臺北市北投區立賢路105號前,deaths: 0;injured: 1,自用-小客車
