accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-07 22:35,臺北市中山區新生北路2段前0公尺數臺北市中山區新生北路2段與民權東路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-16 16:45,臺北市中山區民權東路1段前0公尺數臺北市中山區民權東路1段與林森北路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-18 23:26,臺北市中山區民權東路1段23號前0公尺數臺北市中山區民權東路1段23號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-01-19 20:40,臺北市中山區民權東路1段前0公尺數臺北市中山區民權東路1段與雙城街口,deaths: 0;injured: 1,普通重型-機車
A2,2016-02-05 18:40,臺北市中山區民權東路1段69號前0公尺數臺北市中山區民權東路1段69號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-29 22:20,臺北市中山區中山北路2段前0公尺數臺北市中山區中山北路2段與民權東路1段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-06 15:05,臺北市中山區林森北路前0公尺數臺北市中山區林森北路與民權東路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-11 04:35,臺北市中山區民權東路1段前0公尺數臺北市中山區民權東路1段與新生北路3段口,deaths: 0;injured: 2,自用-小客車;計程車-小客車
A2,2016-03-11 21:45,臺北市中山區民權東路1段69號前0公尺數臺北市中山區民權東路1段69號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-13 12:41,臺北市中山區林森北路前0公尺數臺北市中山區林森北路與民權東路1段口,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-03-15 01:54,臺北市中山區中山北路2段前0公尺數臺北市中山區中山北路2段與民權東路1段口,deaths: 0;injured: 2,自用-小貨車;行人-人;行人-人
A2,2016-03-18 06:30,臺北市中山區民權東路1段前0公尺數臺北市中山區民權東路1段與新生北路3段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-20 23:20,臺北市中山區新生北路2段前0公尺數臺北市中山區新生北路2段與民權東路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-25 08:00,臺北市中山區民權東路1段前0公尺數臺北市中山區民權東路1段與林森北路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;自用-小客車
