accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-10 12:34,臺北市大同區承德路前0公尺數臺北市大同區承德路與民權西路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-11 08:30,臺北市中山區中山北路前0公尺數臺北市中山區中山北路與民權西路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-20 12:30,臺北市大同區民權西路253號前0公尺數臺北市大同區民權西路253號,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-20 16:40,臺北市大同區承德路2段前0公尺數臺北市大同區承德路2段與民權西路口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-22 05:10,臺北市大同區民權西路前0公尺數臺北市大同區民權西路與承德路3段口,deaths: 0;injured: 1,營業用-大貨車;行人-人
A2,2016-01-23 18:20,臺北市大同區民權西路前0公尺數臺北市大同區民權西路與蘭州街口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-26 15:15,臺北市大同區承德路3段前0公尺數臺北市大同區承德路3段與民權西路口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-01-27 09:14,臺北市大同區民權西路104號前0公尺數臺北市大同區民權西路104號,deaths: 0;injured: 2,普通重型-機車;計程車-小客車;普通重型-機車;自用-小客車
A2,2016-01-28 11:50,臺北市大同區承德路前0公尺數臺北市大同區承德路與民權西路口,deaths: 0;injured: 1,普通重型-機車;自用-小貨車
A2,2016-01-29 18:56,臺北市大同區民權西路前0公尺數臺北市大同區民權西路與蘭州街口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-02-03 15:28,臺北市大同區承德路2段前0公尺數臺北市大同區承德路2段與民權西路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車;普通重型-機車;民營客運-大客車
A2,2016-02-04 07:25,臺北市大同區民權西路前0公尺數臺北市大同區民權西路與承德路3段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-02-11 11:52,臺北市中山區天祥路前0公尺數臺北市中山區天祥路與民權西路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
