accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-05 09:35,臺北市中山區民族東路前0公尺數臺北市中山區民族東路濱江市場B1停車場車道,deaths: 0;injured: 1,動力機械-其他車;行人-人
A2,2016-01-06 09:09,臺北市中山區新生北路3段前0公尺數臺北市中山區新生北路3段與民族東路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-09 09:35,臺北市中山區林森北路前0公尺數臺北市中山區林森北路與民族東路口,deaths: 0;injured: 2,普通重型-機車;普通輕型-機車
A2,2016-01-11 19:20,臺北市松山區民族東路749號前0公尺數臺北市松山區民族東路749號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-13 00:00,臺北市中山區民族東路246號前0公尺數臺北市中山區民族東路246號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-22 07:53,臺北市中山區民族東路262號前0公尺數臺北市中山區民族東路262號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-25 19:30,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與林森北路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-30 12:22,臺北市中山區民族東路550號前0公尺數臺北市中山區民族東路550號,deaths: 0;injured: 1,自用-小客車;自用-小客車
A2,2016-01-30 17:50,臺北市中山區松江路前0公尺數臺北市中山區松江路與民族東路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-30 18:37,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與松江路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-02-08 22:01,臺北市松山區民權東路3段前0公尺數臺北市松山區民權東路3段與民族東路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-02-16 09:20,臺北市中山區民族東路546號前0公尺數臺北市中山區民族東路546號,deaths: 0;injured: 1,普通重型-機車
A2,2016-02-24 18:15,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與吉林路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-02-26 06:40,臺北市中山區新生北路3段前0公尺數臺北市中山區新生北路3段與民族東路口,deaths: 0;injured: 2,普通重型-機車;普通輕型-機車
A2,2016-03-01 11:45,臺北市中山區民族東路536號前0公尺數臺北市中山區民族東路536號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-03 18:58,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與龍江路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-03-04 15:30,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與復興北路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-03-06 20:55,臺北市中山區民族東路91號前0公尺數臺北市中山區民族東路91號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-14 17:50,臺北市中山區中山北路3段前0公尺數臺北市中山區中山北路3段與民族東路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-15 20:00,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與濱江街口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-03-16 17:15,臺北市松山區復興北路前0公尺數臺北市松山區復興北路與民族東路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-23 21:15,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與雙城街口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-03-30 23:50,臺北市中山區新生北路3段前0公尺數臺北市中山區新生北路3段與民族東路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-04-01 21:35,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與林森北路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-04-05 00:31,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與吉林路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-08 07:08,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與龍江路口,deaths: 0;injured: 3,拼裝車-其他車;自用-小客車;自用-小客車
A2,2016-04-10 06:05,臺北市中山區新生北路3段前0公尺數臺北市中山區新生北路3段與民族東路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-04-18 07:55,臺北市中山區民族東路128號前0公尺數臺北市中山區民族東路128號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-18 22:20,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與雙城街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-04-22 08:42,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與松江路口,deaths: 0;injured: 1,普通重型-機車;普通輕型-機車
A2,2016-04-25 08:35,臺北市中山區民族東路前0公尺數臺北市中山區民族東路與新生北路3段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-02 20:11,臺北市中山區民族東路前0公尺數與吉林路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-05-05 18:00,臺北市中山區林森北路前0公尺數與民族東路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-05-06 08:27,臺北市中山區民族東路84號前0公尺數84號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-05-06 08:45,臺北市中山區民族東路前0公尺數與松江路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-10 07:35,臺北市中山區民族東路336號前0公尺數336號,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-05-10 07:55,臺北市中山區民族東路前0公尺數與林森北路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-05-10 08:14,臺北市中山區民族東路336號前0公尺數336號,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-05-11 04:03,臺北市中山區民族東路336號前0公尺數336號,deaths: 0;injured: 1,普通重型-機車;自用-小貨車
A2,2016-05-13 16:20,臺北市中山區民族東路36號前0公尺數36號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-25 08:56,臺北市中山區中山北路3段前0公尺數與民族東路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
