accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-01 00:56,臺北市內湖區南京東路6段前0公尺數臺北市內湖區南京東路6段往成功路方向口,deaths: 0;injured: 2,自用-小客車;自用-小客車;自用-小客車
A2,2016-01-01 02:21,臺北市中山區林森北路前0公尺數臺北市中山區林森北路與南京東路1段2號出口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車;其他車-其他車
A2,2016-01-01 21:53,臺北市中山區新生北路1段前0公尺數臺北市中山區新生北路1段與南京東路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-06 06:50,臺北市中山區中山北路1段前0公尺數臺北市中山區中山北路1段與南京東路2段口,deaths: 0;injured: 1,行人-人;普通重型-機車
A2,2016-01-07 08:10,臺北市中山區林森北路前0公尺數臺北市中山區林森北路與南京東路1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-01-09 15:17,臺北市中山區南京東路3段65號前0公尺數臺北市中山區南京東路3段65號,deaths: 0;injured: 1,遊覽車-大客車;普通重型-機車
A2,2016-01-09 16:03,臺北市中山區南京東路3段9號前0公尺數臺北市中山區南京東路3段9號,deaths: 0;injured: 1,計程車-小客車;自用-小客車
A2,2016-01-10 14:20,臺北市松山區南京東路4段102號前0公尺數臺北市松山區南京東路4段102號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-11 21:15,臺北市內湖區成功路2段前0公尺數臺北市內湖區成功路2段與南京東路6段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-12 08:55,臺北市內湖區舊宗路1段前0公尺數臺北市內湖區舊宗路1段與南京東路6段右轉引道口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-13 07:15,臺北市內湖區南京東路6段120號前0公尺數臺北市內湖區南京東路6段120號旁第24號停車格,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-01-14 07:58,臺北市松山區南京東路3段前0公尺數臺北市松山區南京東路3段與敦化北路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-01-14 08:28,臺北市中山區南京東路3段133號前0公尺數臺北市中山區南京東路3段133號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-14 09:16,臺北市中山區南京東路前0公尺數臺北市中山區南京東路與松江路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-14 12:25,臺北市中山區南京東路2段178號前0公尺數臺北市中山區南京東路2段178號,deaths: 0;injured: 1,普通輕型-機車;計程車-小客車
A2,2016-01-14 22:00,臺北市中山區南京東路前0公尺數臺北市中山區南京東路與吉林路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-18 07:17,臺北市中山區南京東路前0公尺數臺北市中山區南京東路與建國北路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-18 18:55,臺北市松山區南京東路前0公尺數臺北市松山區南京東路與復興北路口,deaths: 0;injured: 2,普通重型-機車;行人-人
