accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-09 09:31,臺北市大同區南京西路前0公尺數臺北市大同區南京西路與承德路1段口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-01-09 15:00,臺北市大同區南京西路前0公尺數臺北市大同區南京西路水門大稻埕延平公廟前,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-09 21:00,臺北市中山區中山北路前0公尺數臺北市中山區中山北路與南京西路口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-02-10 08:46,臺北市大同區承德橋路2段前0公尺數臺北市大同區承德橋2段與南京西路口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-02-11 19:15,臺北市大同區延平北路1段前0公尺數臺北市大同區延平北路1段與南京西路口,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-02-13 23:50,臺北市中山區中山北路2段前0公尺數臺北市中山區中山北路2段與南京西路口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-02-14 15:15,臺北市大同區承德路2段前0公尺數臺北市大同區承德路2段與南京西路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-15 18:13,臺北市大同區南京西路前0公尺數臺北市大同區南京西路與延平北路2段口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;其他人-人
A2,2016-02-17 17:55,臺北市大同區延平北路2段前0公尺數臺北市大同區延平北路2段與南京西路口,deaths: 0;injured: 1,自用-小客車;普通輕型-機車
A2,2016-02-21 13:10,臺北市中山區南京西路3號前0公尺數臺北市中山區南京西路3號前,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-04 15:46,臺北市大同區南京西路前0公尺數臺北市大同區南京西路與環河北路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-04 23:40,臺北市中山區中山北路1段前0公尺數臺北市中山區中山北路1段與南京西路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-12 05:30,臺北市大同區延平北路1段前0公尺數臺北市大同區延平北路1段與南京西路口,deaths: 0;injured: 1,自用-小客車;計程車-小客車
A2,2016-03-31 23:00,臺北市大同區南京西路前0公尺數臺北市大同區南京西路與民樂街口,deaths: 0;injured: 1,腳踏自行車-慢車;普通重型-機車
