accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-02 08:20,臺北市內湖區內湖路1段前0公尺數臺北市內湖區內湖路1段與江南街口,deaths: 0;injured: 2,普通輕型-機車;普通重型-機車
A2,2016-01-08 09:30,臺北市內湖區江南街前0公尺數臺北市內湖區江南街與內湖路1段口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-01-12 20:17,臺北市內湖區內湖路1段115號前0公尺數臺北市內湖區內湖路1段115號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-19 15:31,臺北市內湖區內湖路1段前0公尺數臺北市內湖區內湖路1段與環山路1段口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-01-20 19:07,臺北市內湖區內湖路1段306號前0公尺數臺北市內湖區內湖路1段306號前,deaths: 0;injured: 4,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-01-25 13:49,臺北市內湖區內湖路1段66號前0公尺數臺北市內湖區內湖路1段66號前,deaths: 0;injured: 1,自用-小客車;自用-小客車
A2,2016-01-26 19:36,臺北市內湖區內湖路1段111號前0公尺數臺北市內湖區內湖路1段111號,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-02-05 22:22,臺北市中山區堤頂大道2段前0公尺數臺北市中山區堤頂大道2段與內湖路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-10 23:20,臺北市內湖區內湖路1段362號前0公尺數臺北市內湖區內湖路1段362號前,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-23 08:50,臺北市內湖區港墘路前0公尺數臺北市內湖區港墘路與內湖路1段口,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2016-02-29 17:10,臺北市內湖區內湖路1段88號前0公尺數臺北市內湖區內湖路1段88號前,deaths: 0;injured: 3,自用-小客車;自用-小客車;自用-小客車
A2,2016-03-09 17:36,臺北市內湖區內湖路1段356號前0公尺數臺北市內湖區內湖路1段356號,deaths: 0;injured: 1,普通重型-機車;行人-人
