accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-03 16:22,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景福街口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-04 17:10,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景豐街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-06 10:10,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與溪口街口,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2016-01-06 13:46,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景隆街口,deaths: 0;injured: 1,營業用-曳引車;普通重型-機車
A2,2016-01-16 04:43,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景文街口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-16 12:15,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段北新橋(往北市),deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-01-22 09:50,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景隆街口,deaths: 0;injured: 1,民營客運-大客車;民營客運-大客車
A2,2016-01-30 04:55,臺北市文山區羅斯福路6段299號前0公尺數臺北市文山區羅斯福路6段299號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-09 00:11,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景福街口,deaths: 0;injured: 1,普通重型-機車;救護車-特種車
A2,2016-02-13 19:50,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與育英街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-14 19:40,臺北市文山區羅斯福路6段134號前0公尺數臺北市文山區羅斯福路6段134號前,deaths: 0;injured: 1,普通重型-機車
A2,2016-02-26 18:36,臺北市文山區羅斯福路6段73號前0公尺數臺北市文山區羅斯福路6段73號,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-02-27 20:16,臺北市文山區羅斯福路6段218號前0公尺數臺北市文山區羅斯福路6段218號前,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-03-10 10:56,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景福街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-13 18:55,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景華街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-21 15:50,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與萬隆街口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車;計程車-小客車
A2,2016-03-23 09:19,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段鳴遠橋南往北下橋處,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-23 13:33,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景福街口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-03-25 14:03,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景中街口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-26 13:15,臺北市文山區羅斯福路6段110號前0公尺數臺北市文山區羅斯福路6段110號前,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2016-03-28 13:25,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景華街口,deaths: 0;injured: 2,大型重型2-機車;自用-小客車;大型重型2-機車
A2,2016-04-02 12:20,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與三福街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-13 07:45,臺北市文山區羅斯福路6段218號前0公尺數臺北市文山區羅斯福路6段218號,deaths: 0;injured: 2,租賃車-小客車;普通重型-機車;普通重型-機車
A2,2016-04-17 10:35,臺北市文山區羅斯福路6段198號前0公尺數臺北市文山區羅斯福路6段198號,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-04-18 10:20,臺北市文山區羅斯福路6段316號前0公尺數臺北市文山區羅斯福路6段316號前,deaths: 0;injured: 1,民營公車-大客車;民營公車-大客車
A2,2016-04-20 07:20,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與育英街口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-04-24 18:00,臺北市文山區羅斯福路6段2號前0公尺數臺北市文山區羅斯福路6段2號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-26 13:20,臺北市文山區羅斯福路6段前0公尺數臺北市文山區羅斯福路6段與景仁街口,deaths: 0;injured: 1,自用-小客車;自用-小客車;普通重型-機車
A2,2016-05-01 09:00,臺北市文山區羅斯福路6段285號前0公尺數285號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-05-06 07:20,臺北市文山區羅斯福路6段前0公尺數與萬隆街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-10 22:30,臺北市文山區羅斯福路6段前0公尺數與萬隆街口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-05-14 07:32,臺北市文山區羅斯福路6段前0公尺數與三福街口,deaths: 0;injured: 1,普通重型-機車;自用-小貨車;自用-小貨車
A2,2016-05-18 20:54,臺北市文山區羅斯福路6段前0公尺數與育英街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-19 19:35,臺北市文山區羅斯福路6段75號前0公尺數75號前,deaths: 0;injured: 1,普通重型-機車
A2,2016-05-21 22:53,臺北市文山區羅斯福路6段前0公尺數與育英街口,deaths: 0;injured: 2,計程車-小客車;普通重型-機車;普通重型-機車
A2,2016-05-22 07:50,臺北市文山區羅斯福路6段46號前0公尺數46號,deaths: 0;injured: 1,動力機械-其他車;普通重型-機車
A2,2016-05-29 20:40,臺北市文山區羅斯福路6段前0公尺數與景隆街口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-05-31 13:54,臺北市文山區羅斯福路6段75號前0公尺數75號,deaths: 0;injured: 1,其他人-人;普通重型-機車
A2,2016-06-02 18:50,臺北市文山區羅斯福路6段前0公尺數與景文街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-05 11:35,臺北市文山區羅斯福路6段206號前0公尺數206號前,deaths: 0;injured: 1,行人-人;租賃車-小客車
A2,2016-06-11 19:19,臺北市文山區羅斯福路6段前0公尺數與三福街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
