accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-22 17:40,臺北市松山區民生東路5段前0公尺數臺北市松山區民生東路5段與塔悠路口,deaths: 0;injured: 4,自用-小客車;自用-小客車;自用-小客車;自用-小客車
A2,2016-02-02 19:03,臺北市松山區塔悠路前0公尺數臺北市松山區塔悠路與延壽街口,deaths: 0;injured: 2,普通輕型-機車;行人-人
A2,2016-02-03 01:31,臺北市松山區民生東路5段前0公尺數臺北市松山區民生東路5段與塔悠路口,deaths: 0;injured: 1,自用-小客車;自用-小客車
A2,2016-02-16 14:47,臺北市松山區塔悠路87號前0公尺數臺北市松山區塔悠路87號,deaths: 0;injured: 1,普通重型-機車
A2,2016-02-22 08:25,臺北市松山區塔悠路218號前0公尺數臺北市松山區塔悠路218號,deaths: 0;injured: 2,普通輕型-機車;普通重型-機車;普通重型-機車
A2,2016-03-08 17:50,臺北市松山區塔悠路165號前0公尺數臺北市松山區塔悠路165號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-22 21:55,臺北市松山區塔悠路36號前0公尺數臺北市松山區塔悠路36號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-03-23 16:00,臺北市松山區塔悠路前0公尺數臺北市松山區塔悠路與民權東路5段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-27 17:30,臺北市松山區塔悠路前0公尺數臺北市松山區塔悠路河濱公園6號水門內,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-04-02 12:57,臺北市松山區塔悠路前0公尺數臺北市松山區塔悠路與撫遠街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-05 10:00,臺北市松山區撫遠街前0公尺數臺北市松山區撫遠街與塔悠路口,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-04-20 09:36,臺北市松山區塔悠路205號前0公尺數臺北市松山區塔悠路205號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-24 10:26,臺北市松山區南京東路5段前0公尺數臺北市松山區南京東路5段與塔悠路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-26 22:02,臺北市松山區塔悠路前0公尺數臺北市松山區塔悠路與延壽街口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-04-30 10:25,臺北市松山區南京東路5段前0公尺數臺北市松山區南京東路5段與塔悠路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-05-19 07:58,臺北市松山區塔悠路57號前0公尺數57號,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-05-28 10:33,臺北市松山區塔悠路212號前0公尺數212號,deaths: 0;injured: 2,普通重型-機車;民營公車-大客車;普通重型-機車
A2,2016-05-30 13:15,臺北市松山區八德路4段前0公尺數與塔悠路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-05-31 07:00,臺北市松山區塔悠路78號前0公尺數78號,deaths: 0;injured: 2,腳踏自行車-慢車;普通重型-機車
A2,2016-05-31 17:40,臺北市松山區塔悠路25號前0公尺數25號,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-06-07 07:25,臺北市松山區民權東路5段前0公尺數與塔悠路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-06-09 21:36,臺北市松山區民權東路5段前0公尺數與塔悠路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-06-17 15:57,臺北市松山區塔悠路前0公尺數與撫遠街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-23 12:35,臺北市松山區塔悠路前0公尺數與八德路4段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-24 14:40,臺北市松山區八德路4段前0公尺數與塔悠路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-06-29 10:10,臺北市松山區塔悠路前0公尺數,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-07-04 01:00,臺北市松山區八德路4段前0公尺數與塔悠路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-07-05 06:36,臺北市松山區塔悠路187號前0公尺數187號,deaths: 0;injured: 2,普通重型-機車;人力車-慢車
A2,2016-07-16 18:40,臺北市松山區基隆路1段前0公尺數與塔悠路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-07-20 18:20,臺北市松山區南京東路5段前0公尺數與塔悠路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-08-05 15:14,臺北市松山區八德路4段前0公尺數與塔悠路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-08-05 19:16,臺北市松山區塔悠路58號前0公尺數58號,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-08-07 23:20,臺北市松山區塔悠路303號前0公尺數303號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-08-12 22:30,臺北市松山區八德路4段前0公尺數與塔悠路口,deaths: 0;injured: 1,自用-小客車;大型重型2-機車
A2,2016-08-17 18:03,臺北市松山區塔悠路178號前0公尺數178號,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-08-27 05:08,臺北市松山區塔悠路前0公尺數與撫遠街口,deaths: 0;injured: 1,自用-小貨車;營業用-小貨車
A2,2016-09-03 21:55,臺北市松山區民生東路5段前0公尺數與塔悠路口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-09-05 19:05,臺北市松山區塔悠路212號前0公尺數212號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-09-06 13:40,臺北市松山區塔悠路前0公尺數與八德路4段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
