accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-14 12:30,臺北市文山區興隆路4段223號前0公尺數臺北市文山區興隆路4段223號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-19 07:38,臺北市文山區木新路3段前0公尺數臺北市文山區木新路3段與興隆路4段口,deaths: 0;injured: 1,普通重型-機車
A2,2016-01-20 09:50,臺北市文山區木新路3段前0公尺數臺北市文山區木新路3段與興隆路4段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-27 08:00,臺北市文山區木新路3段前0公尺數臺北市文山區木新路3段與興隆路4段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-02-19 20:50,臺北市文山區木柵路2段前0公尺數臺北市文山區木柵路2段與興隆路4段口,deaths: 0;injured: 2,計程車-小客車;行人-人;行人-人
A2,2016-02-24 12:05,臺北市文山區興隆路4段102號前0公尺數臺北市文山區興隆路4段102號前,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-03-04 12:07,臺北市文山區興隆路4段前0公尺數臺北市文山區興隆路4段與忠順街1段口,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-03-16 23:48,臺北市文山區興隆路4段前0公尺數臺北市文山區興隆路4段與忠順街2段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-31 09:25,臺北市文山區木新路3段前0公尺數臺北市文山區木新路3段與興隆路4段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-04-05 09:57,臺北市文山區興隆路4段181號前0公尺數臺北市文山區興隆路4段181號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-06 20:30,臺北市文山區興隆路4段前0公尺數臺北市文山區興隆路4段與下崙路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-05-15 22:46,臺北市文山區木柵路2段前0公尺數與興隆路4段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-05-20 22:23,臺北市文山區興隆路4段6-1號前0公尺數6-1號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-05-21 21:00,臺北市文山區興隆路4段56號前0公尺數56號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-29 12:00,臺北市文山區興隆路4段54-號前0公尺數54-3號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-01 08:30,臺北市文山區興隆路4段119號前0公尺數119號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-07 09:45,臺北市文山區興隆路4段2號前0公尺數2號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-06-13 16:30,臺北市文山區木柵路1段前0公尺數與興隆路4段口,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2016-06-20 11:30,臺北市文山區興隆路4段3號前0公尺數3號,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-06-25 11:24,臺北市文山區興隆路4段141號前0公尺數141號,deaths: 0;injured: 1,普通重型-機車;自用-小貨車
A2,2016-06-29 15:20,臺北市文山區木新路3段前0公尺數與興隆路4段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-07-06 09:05,臺北市文山區興隆路4段2號前0公尺數2號前,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-07-18 15:50,臺北市文山區興隆路4段49-號前0公尺數49-6號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-07-22 14:53,臺北市文山區興隆路4段54-號前0公尺數54-5號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-07-24 21:30,臺北市文山區興隆路4段前0公尺數與下崙路口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-08-05 06:30,臺北市文山區興隆路4段前0公尺數與下崙路口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-10-04 12:28,臺北市文山區忠順街1段前0公尺數與興隆路4段口,deaths: 0;injured: 2,普通重型-機車;計程車-小客車;普通重型-機車
A2,2016-10-10 15:42,臺北市文山區興隆路4段54-號前0公尺數54-3號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-10-11 08:21,臺北市文山區木柵路2段前0公尺數與興隆路4段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-10-17 00:43,臺北市文山區木新路3段前0公尺數與興隆路4段口,deaths: 0;injured: 1,大型重型1-機車;普通重型-機車
A2,2016-10-25 16:09,臺北市文山區興隆路4段前0公尺數與下崙路口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-10-25 19:30,臺北市文山區興隆路4段前0公尺數與下崙路口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-10-26 20:58,臺北市文山區興隆路4段前0公尺數與忠順街1段口,deaths: 0;injured: 1,普通輕型-機車;自用-小客車
A2,2016-10-31 17:25,臺北市文山區興隆路4段2號前0公尺數2號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
