accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-06 17:57,臺北市萬華區西園路2段26號前0公尺數臺北市萬華區西園路2段26號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-01-14 17:05,臺北市萬華區西園路2段前0公尺數臺北市萬華區西園路2段與寶興街口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-20 21:45,臺北市萬華區西園路2段276號前0公尺數臺北市萬華區西園路2段276號,deaths: 0;injured: 1,普通重型-機車
A2,2016-01-24 21:20,臺北市萬華區西園路2段178號前0公尺數臺北市萬華區西園路2段178號,deaths: 0;injured: 2,行人-人;普通重型-機車
A2,2016-01-29 18:25,臺北市萬華區西園路2段47號前0公尺數臺北市萬華區西園路2段47號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車;普通重型-機車
A2,2016-02-04 18:20,臺北市萬華區西園路2段前0公尺數臺北市萬華區西園路2段與莒光路口,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2016-02-25 10:45,臺北市萬華區西園路2段251號前0公尺數臺北市萬華區西園路2段251-2號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-03-16 07:50,臺北市萬華區西園路2段279號前0公尺數臺北市萬華區西園路2段279-8號,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-03-23 19:30,臺北市萬華區和平西路3段前0公尺數臺北市萬華區和平西路3段與西園路2段口,deaths: 0;injured: 1,計程車-小客車;行人-人
A2,2016-03-29 15:45,臺北市萬華區西園路2段前0公尺數臺北市萬華區西園路2段與莒光路口,deaths: 0;injured: 4,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;其他人-人
A2,2016-03-30 11:50,臺北市萬華區西園路2段前0公尺數臺北市萬華區西園路2段與莒光路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-13 14:53,臺北市萬華區西園路2段259號前0公尺數臺北市萬華區西園路2段259號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
