accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-01 16:00,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與逸仙路口,deaths: 0;injured: 1,普通重型-機車
A2,2016-01-18 21:41,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與逸仙路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-01-25 19:10,臺北市信義區仁愛路4段507號前0公尺數臺北市信義區仁愛路4段507號與逸仙路4段旁口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-29 04:30,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與逸仙路口,deaths: 0;injured: 3,計程車-小客車;計程車-小客車;計程車-小客車;計程車-小客車
A2,2016-02-24 17:53,臺北市信義區仁愛路4段前0公尺數臺北市信義區仁愛路4段與逸仙路口,deaths: 0;injured: 1,計程車-小客車;普通輕型-機車
A2,2016-02-27 04:56,臺北市信義區逸仙路前0公尺數臺北市信義區逸仙路與仁愛路4段口,deaths: 0;injured: 1,計程車-小客車;計程車-小客車;計程車-小客車
A2,2016-02-29 22:10,臺北市信義區仁愛路4段前0公尺數臺北市信義區仁愛路4段與逸仙路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-03-23 08:22,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與逸仙路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-04-01 23:40,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與逸仙路口,deaths: 0;injured: 1,計程車-小客車;乘客-人;乘客-人
A2,2016-04-12 21:05,臺北市信義區忠孝東路4段前0公尺數臺北市信義區忠孝東路4段與逸仙路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-04-24 21:27,臺北市信義區松高路前0公尺數臺北市信義區松高路與逸仙路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-29 11:23,臺北市信義區仁愛路4段前0公尺數與逸仙路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-07-09 10:25,臺北市信義區忠孝東路4段前0公尺數與逸仙路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-08-17 08:30,臺北市信義區仁愛路4段前0公尺數與逸仙路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-08-26 12:30,臺北市信義區忠孝東路4段前0公尺數與逸仙路口,deaths: 0;injured: 1,自用-小客車
A2,2016-09-06 12:20,臺北市信義區松高路前0公尺數與逸仙路口,deaths: 0;injured: 1,租賃車-小客車;行人-人
A2,2016-09-16 11:30,臺北市信義區忠孝東路4段前0公尺數與逸仙路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-01-02 22:00,臺北市信義區仁愛路4段逸仙路(口)仁愛路4段 逸仙路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-01-11 15:30,臺北市信義區逸仙路旁(口)忠孝東路4段 逸仙路旁,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;自用-小客車
A2,2014-01-22 20:10,臺北市信義區逸仙路(口)忠孝東路4段 逸仙路,deaths: 0;injured: 1,普通重型-機車;民營公車-大客車
A2,2014-01-27 15:00,臺北市信義區逸仙路(口)忠孝東路4段 逸仙路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-03-21 04:56,臺北市信義區忠孝東路4段逸仙路,deaths: 0;injured: 1,普通重型-機車
A2,2014-03-26 03:15,臺北市信義區逸仙路(口)忠孝東路4段 逸仙路,deaths: 0;injured: 3,計程車-小客車;自用-小客車;自用-小客車
A2,2014-04-16 10:00,臺北市信義區逸仙路(口)忠孝東路4段 逸仙路,deaths: 0;injured: 1,計程車-小客車;腳踏自行車-慢車
A2,2014-05-02 00:50,臺北市信義區逸仙路逸仙路 忠孝東路4段,deaths: 0;injured: 1,計程車-小客車;計程車-小客車
A2,2014-05-13 08:31,臺北市信義區仁愛路逸仙路(口)仁愛路 逸仙路,deaths: 0;injured: 1,民營公車-大客車;普通重型-機車
