accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-02 15:30,臺北市士林區至善路1段前0公尺數臺北市士林區至善路1段與福林路254弄口,deaths: 0;injured: 2,普通重型-機車;自用-小客車;其他人-人
A2,2016-01-05 00:17,臺北市士林區至善路1段前0公尺數臺北市士林區至善路1段222號燈桿,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;其他車-其他車
A2,2016-02-10 13:49,臺北市士林區福林路前0公尺數臺北市士林區福林路與至善路1段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-04-02 12:00,臺北市士林區至善路1段前0公尺數臺北市士林區至善路1段南往北第251號燈桿,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-05 22:30,臺北市士林區福林路前0公尺數臺北市士林區福林路與至善路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-03 15:14,臺北市士林區福林路前0公尺數與至善路1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-24 17:30,臺北市士林區福林路前0公尺數與至善路1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-07-19 10:32,臺北市士林區至善路1段前0公尺數至善公園停車場前,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-08-17 10:35,臺北市士林區至善路1段前0公尺數與福林路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-08-23 08:10,臺北市士林區至善路1段前0公尺數東吳大學前,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-10-09 21:22,臺北市士林區福林路前0公尺數與至善路1段口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-10-25 10:17,臺北市士林區福林路前0公尺數與至善路1段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-01-06 08:30,臺北市士林區至善路1段至善路1段,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2014-04-01 08:30,臺北市士林區至善路1段臨溪路(口)至善路1段 臨溪路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車;自用-小客車
A2,2014-04-07 13:05,臺北市士林區至善路1段故宮路(口)至善路1段 故宮路,deaths: 0;injured: 2,普通重型-機車;計程車-小客車
A2,2014-05-12 09:00,臺北市中山區至善路1段(至善公園旁),deaths: 0;injured: 1,普通重型-機車;警備車-特種車
A2,2014-05-22 19:00,臺北市士林區至善路1段臨溪路(口)至善路1段 臨溪路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-06-05 09:04,臺北市士林區臨溪路至善路1段(口)臨溪路 至善路1段,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-07-30 21:20,臺北市士林區至善路1段至善路1段 雙溪公園,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-08-04 20:22,臺北市士林區至善路1段至善路1段 復興橋,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-09-02 01:49,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 2,自用-大貨車;普通重型-機車;普通重型-機車
A2,2014-09-15 21:06,臺北市士林區至善路1段至善路1段,deaths: 0;injured: 1,普通重型-機車;自用-小貨車
A2,2014-10-09 15:02,臺北市士林區至善路1段至善路1段,deaths: 0;injured: 1,營業用-小貨車;普通重型-機車
A2,2014-10-15 08:08,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 2,普通重型-機車;普通輕型-機車
A2,2014-10-18 09:59,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2014-10-21 15:24,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 2,自用-小客車;普通輕型-機車;普通輕型-機車
A2,2014-10-30 11:30,臺北市士林區至善路1段臨溪街(口)至善路1段 臨溪街,deaths: 0;injured: 1,普通重型-機車;民營公車-大客車;民營公車-大客車
A2,2014-11-05 07:30,臺北市士林區至善路1段公園前,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-12-01 23:20,臺北市士林區至善路1段130號對面,deaths: 0;injured: 1,自用-小客車;遊覽車-大客車
A2,2014-12-20 08:30,臺北市士林區至善路1段東吳大學前019號燈桿,deaths: 0;injured: 1,普通重型-機車
A2,2014-12-23 08:05,臺北市士林區至善路1段復興橋頭,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2014-12-30 21:20,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2015-01-10 12:23,臺北市士林區至善路1段第241號燈桿,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2015-01-28 07:25,臺北市士林區至善路1段202路燈  雙溪公園,deaths: 0;injured: 2,計程車-小客車;普通重型-機車;普通重型-機車
A2,2015-02-25 16:35,臺北市士林區至善路1段213號燈桿,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2015-02-25 22:14,臺北市士林區至善路1段299號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2015-03-03 20:10,臺北市士林區至善路1段福林路(口)至善路1段 福林路,deaths: 0;injured: 1,普通重型-機車;普通重型-機車;普通重型-機車
A2,2015-03-30 18:32,臺北市士林區至善路1段至善路1段,deaths: 0;injured: 1,自用-小客車;普通輕型-機車
A2,2015-04-29 17:27,臺北市士林區至善路1段118號,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2015-05-15 20:06,臺北市士林區至善路1段118號前,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2015-05-20 09:50,臺北市士林區至善路1段134號前,deaths: 0;injured: 2,自用-小貨車;普通重型-機車;遊覽車-大客車
A2,2015-06-18 01:20,臺北市士林區至善路1段118號,deaths: 0;injured: 1,普通重型-機車
A2,2015-06-22 15:22,臺北市士林區至善路1段臨溪路,deaths: 0;injured: 1,計程車-小客車;計程車-小客車;普通重型-機車
A2,2015-07-31 07:50,臺北市士林區至善路1段臨溪街(口)至善路1段 臨溪街,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2015-08-20 13:20,臺北市士林區至善路1段(至善公園),deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2015-09-10 07:38,臺北市士林區至善路1段臨溪路(口)至善路1段 臨溪路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2015-09-13 16:10,臺北市士林區至善路1段(電桿232號前),deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2015-11-04 01:47,臺北市士林區至善路1段福林路(口)至善路1段 福林路,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2013-03-31 23:05,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 1,自用-小客車;大型重型1-機車
A2,2013-04-09 10:10,臺北市士林區至善路1段臨溪路(口)至善路1段 臨溪路,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2013-04-17 19:50,臺北市士林區至善路1段至善路1段 118號停車格,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2013-04-28 12:38,臺北市士林區至善路1段往東 臨溪路口前路段缺口,deaths: 0;injured: 2,自用-小貨車;自用-小客車
A2,2013-06-14 09:19,臺北市士林區至善路1段至善路1段 臨溪路東吳大學前,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2013-06-17 08:50,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 1,計程車-小客車;自用-小客車;計程車-小客車
A2,2013-07-27 23:35,臺北市士林區福林路至善路1段(口)福林路 至善路1段,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2013-08-21 14:30,臺北市士林區至善路1段032燈桿,deaths: 0;injured: 1,自用-小客車;營業用-曳引車
A2,2013-09-17 19:40,臺北市士林區至善路1段至善公園前,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2013-09-27 17:40,臺北市士林區至善路1段至善路1段,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2013-10-02 21:58,臺北市士林區至善路1段東吳大學對面,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2013-12-05 03:45,臺北市士林區至善路1段130號,deaths: 0;injured: 1,普通重型-機車;動力機械-其他車
