accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-01 09:14,臺北市萬華區中華路1段前0公尺數臺北市萬華區中華路1段與漢口街2段口,deaths: 0;injured: 1,其他車-其他車;民營客運-大客車;民營客運-大客車
A2,2016-01-20 23:55,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與忠孝西路1段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-23 00:36,臺北市中正區忠孝西路前0公尺數臺北市中正區忠孝西路與中華路1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;自用-小貨車;自用-小客車
A2,2016-01-24 20:00,臺北市萬華區中華路1段160號前0公尺數臺北市萬華區中華路1段160號,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-01-25 20:56,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與衡陽路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車;其他車-其他車
A2,2016-01-26 14:55,臺北市萬華區成都路前0公尺數臺北市萬華區成都路與中華路1段口,deaths: 0;injured: 1,自用-小貨車;民營客運-大客車;自用-小貨車;民營客運-大客車
A2,2016-02-02 10:37,臺北市萬華區中華路1段210號前0公尺數臺北市萬華區中華路1段210號,deaths: 0;injured: 1,普通重型-機車
A2,2016-02-20 22:25,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與寶慶路口,deaths: 0;injured: 1,行人-人;自用-小客車
A2,2016-02-21 00:40,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與秀山街口,deaths: 0;injured: 2,計程車-小客車;普通重型-機車;普通重型-機車
A2,2016-02-25 13:00,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與貴陽街1段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-03-03 07:15,臺北市萬華區中華路1段前0公尺數臺北市萬華區中華路1段與貴陽街2段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-04 13:50,臺北市萬華區中華路1段160號前0公尺數臺北市萬華區中華路1段160號,deaths: 0;injured: 1,民營公車-大客車;普通重型-機車
A2,2016-03-06 07:30,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與忠孝西路1段口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-03-06 07:33,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與貴陽街1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-07 17:53,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與愛國西路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-14 06:20,臺北市萬華區中華路1段前0公尺數臺北市萬華區中華路1段與南寧路口,deaths: 0;injured: 1,普通輕型-機車;普通重型-機車
A2,2016-03-14 18:50,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與貴陽街1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-18 09:00,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與忠孝西路1段口,deaths: 0;injured: 1,自用-小客車;民營公車-大客車;民營公車-大客車
A2,2016-03-18 19:17,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與貴陽街1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-22 09:00,臺北市中正區中華路1段59號前0公尺數臺北市中正區中華路1段59號,deaths: 0;injured: 1,普通重型-機車;普通重型-機車;其他車-其他車;自用-小客車;其他車-其他車
A2,2016-03-24 09:45,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與貴陽街1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-05 18:32,臺北市萬華區中華路1段前0公尺數臺北市萬華區中華路1段與開封街2段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-04-07 16:30,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與漢口街1段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-07 19:00,臺北市中正區貴陽街1段前0公尺數臺北市中正區貴陽街1段與中華路1段口,deaths: 0;injured: 1,民營公車-大客車;行人-人
A2,2016-04-07 21:09,臺北市萬華區中華路1段198號前0公尺數臺北市萬華區中華路1段198號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-04-08 22:11,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與寶慶路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-04-09 11:45,臺北市萬華區中華路1段前0公尺數臺北市萬華區中華路1段與成都路口,deaths: 0;injured: 2,大型重型1-機車;行人-人
A2,2016-04-10 16:30,臺北市萬華區中華路1段112號前0公尺數臺北市萬華區中華路1段112號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-11 20:10,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與忠孝西路1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-04-15 07:18,臺北市萬華區中華路1段前0公尺數臺北市萬華區中華路1段與開封街2段口,deaths: 0;injured: 2,普通重型-機車;行人-人
A2,2016-04-21 11:15,臺北市中正區中華路1段前0公尺數臺北市中正區中華路1段與長沙街1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-04-21 18:00,臺北市萬華區中華路1段前0公尺數臺北市萬華區中華路1段與忠孝西路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-27 05:11,臺北市中正區忠孝西路1段前0公尺數臺北市中正區忠孝西路1段與中華路1段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-05-03 08:16,臺北市中正區中華路1段前0公尺數與長沙街1段口,deaths: 0;injured: 1,民營公車-大客車;普通重型-機車;普通重型-機車
A2,2016-05-06 20:30,臺北市中正區中華路1段前0公尺數與忠孝西路1段北門口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-07 06:43,臺北市中正區忠孝西路1段前0公尺數與中華路1段北門前口,deaths: 0;injured: 1,計程車-小客車;普通輕型-機車
A2,2016-05-09 01:07,臺北市中正區中華路1段39號前0公尺數39號,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-05-13 22:30,臺北市萬華區中華路1段182號前0公尺數182號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車;其他人-人
A2,2016-05-14 18:15,臺北市中正區中華路1段前0公尺數與寶慶路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-05-18 07:13,臺北市萬華區中華路1段前0公尺數與忠孝西路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-18 10:50,臺北市中正區中華路1段前0公尺數與開封街1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-05-19 06:22,臺北市中正區中華路1段前0公尺數與忠孝西路1段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-05-20 09:00,臺北市中正區中華路1段前0公尺數與忠孝西路1段口,deaths: 0;injured: 1,民營公車-大客車;普通重型-機車
A2,2016-05-25 08:43,臺北市中正區中華路1段前0公尺數與忠孝西路1段口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-05-26 13:15,臺北市萬華區中華路1段前0公尺數與忠孝西路2段口,deaths: 0;injured: 1,普通重型-機車;租賃車-小客車
A2,2016-06-02 14:36,臺北市中正區中華路1段前0公尺數與漢口街1段口,deaths: 0;injured: 2,計程車-小客車;大型重型2-機車;大型重型2-機車
A2,2016-06-02 17:50,臺北市萬華區中華路1段前0公尺數與忠孝西路2段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-05 16:37,臺北市萬華區中華路1段前0公尺數與成都路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-06-06 15:20,臺北市萬華區中華路1段前0公尺數與忠孝西路2段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-06-10 22:40,臺北市中正區中華路1段25號前0公尺數25號前,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-06-16 22:20,臺北市中正區中華路1段前0公尺數與忠孝西路1段口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-06-17 10:55,臺北市中正區中華路1段前0公尺數與武昌街1段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-06-18 15:53,臺北市中正區中華路1段前0公尺數與忠孝西路1段口,deaths: 0;injured: 1,自用-小客車;民營公車-大客車;普通重型-機車
A2,2016-06-18 22:45,臺北市中正區忠孝西路1段前0公尺數與中華路1段北口,deaths: 0;injured: 1,民營公車-大客車;民營公車-大客車
A2,2016-06-19 08:53,臺北市中正區中華路1段前0公尺數與長沙街1段口,deaths: 0;injured: 1,普通重型-機車
