accident_type,accident_time,accident_location,casualties,car_type
A2,2016-04-11 14:00,臺北市中山區中山北路3段前0公尺數臺北市中山區中山北路3段中山橋往北,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-05-16 09:50,臺北市中山區中山北路3段前0公尺數中山橋頭處,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-06-30 10:05,臺北市中山區中山橋道路前0公尺數往南第2支燈桿,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2016-07-14 08:23,臺北市中山區中山北路3段前0公尺數中山橋往南,deaths: 0;injured: 1,普通重型-機車
A2,2016-08-14 09:38,臺北市中山區中山北路3段前0公尺數往南中山橋下橋處,deaths: 0;injured: 2,其他車-其他車;普通重型-機車;普通重型-機車
A2,2016-10-06 07:50,臺北市中山區中山橋道路前0公尺數往南下橋處,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-11-06 16:32,臺北市中山區中山橋道路前0公尺數往北機車專用道入口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-01-07 18:53,臺北市中山區中山橋北向南車道,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-03-03 21:30,臺北市士林區中山北路4段中山橋旁,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2014-04-14 09:02,臺北市中山區中山北路往南接中山橋機車道第2支路燈處,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2014-04-19 19:21,臺北市中山區中山北路3段往北過中山橋 接北安路機車專用道,deaths: 0;injured: 2,普通輕型-機車;普通重型-機車;普通重型-機車
A2,2014-05-01 17:30,臺北市中山區中山北路中山橋北向南機車道20號燈桿,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-05-24 17:10,臺北市中山區中山北路中山橋往北第2根燈桿,deaths: 0;injured: 2,普通重型-機車;普通輕型-機車
A2,2014-06-16 17:26,臺北市中山區中山北路3段 中山橋,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-06-27 12:10,臺北市中山區中山北路(中山橋往南),deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2014-07-07 18:15,臺北市中山區中山北路中山橋往北機車道,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
