accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-01 03:13,臺北市信義區忠孝東路5段前0公尺數臺北市信義區忠孝東路5段與松仁路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車;其他人-人
A2,2016-01-03 15:45,臺北市信義區忠孝東路5段149號前0公尺數臺北市信義區忠孝東路5段149號,deaths: 0;injured: 1,計程車-小客車;腳踏自行車-慢車
A2,2016-01-04 21:50,臺北市信義區忠孝東路5段494號前0公尺數臺北市信義區忠孝東路5段494號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;自用-小客車;普通重型-機車
A2,2016-01-05 08:05,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與忠孝東路5段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-05 10:04,臺北市信義區忠孝東路5段293號前0公尺數臺北市信義區忠孝東路5段293號號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-09 18:21,臺北市信義區忠孝東路5段1號前0公尺數臺北市信義區忠孝東路5段1號與基隆路1段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-01-11 16:40,臺北市信義區忠孝東路5段前0公尺數臺北市信義區忠孝東路5段與松信路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-13 15:10,臺北市信義區忠孝東路5段497號前0公尺數臺北市信義區忠孝東路5段497號,deaths: 0;injured: 3,公營客運-大客車;自用-小貨車;自用-小客車;自用-小客車
A2,2016-01-13 19:00,臺北市信義區忠孝東路5段68號前0公尺數臺北市信義區忠孝東路5段68號,deaths: 0;injured: 1,計程車-小客車;計程車-小客車;普通重型-機車
A2,2016-01-14 17:20,臺北市信義區松山路前0公尺數臺北市信義區松山路與忠孝東路5段口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-15 08:50,臺北市信義區忠孝東路5段205號前0公尺數臺北市信義區忠孝東路5段205號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-19 18:00,臺北市信義區忠孝東路5段135號前0公尺數臺北市信義區忠孝東路5段135號,deaths: 0;injured: 1,普通重型-機車
A2,2016-01-20 09:59,臺北市信義區忠孝東路5段715號前0公尺數臺北市信義區忠孝東路5段715號,deaths: 0;injured: 1,普通重型-機車;腳踏自行車-慢車
A2,2016-01-22 10:01,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與忠孝東路5段口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-01-25 16:00,臺北市信義區忠孝東路5段前0公尺數臺北市信義區忠孝東路5段與中坡南路口,deaths: 0;injured: 1,自用-小客車;自用-小貨車
A2,2016-01-26 16:50,臺北市信義區忠孝東路5段1號前0公尺數臺北市信義區忠孝東路5段1號,deaths: 0;injured: 1,普通重型-機車;計程車-小客車;普通重型-機車
A2,2016-01-26 22:00,臺北市信義區忠孝東路5段前0公尺數臺北市信義區忠孝東路5段與松仁路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-03 15:18,臺北市信義區忠孝東路5段前0公尺數臺北市信義區忠孝東路5段與中坡南路口,deaths: 0;injured: 1,普通重型-機車;計程車-小客車
A2,2016-02-04 06:56,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與忠孝東路5段口,deaths: 0;injured: 1,計程車-小客車;腳踏自行車-慢車
A2,2016-02-08 18:00,臺北市南港區忠孝東路5段968號前0公尺數臺北市南港區忠孝東路5段968號前,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-02-13 00:07,臺北市信義區基隆路1段前0公尺數臺北市信義區基隆路1段與忠孝東路5段口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-02-13 15:50,臺北市南港區忠孝東路5段前0公尺數臺北市南港區忠孝東路5段與永吉路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
