accident_type,accident_time,accident_location,casualties,car_type
A2,2016-01-08 22:25,臺北市士林區中正路前0公尺數臺北市士林區中正路雨農路口,deaths: 0;injured: 1,計程車-小客車;普通重型-機車
A2,2016-01-10 06:05,臺北市士林區承德路前0公尺數臺北市士林區承德路與中正路口,deaths: 0;injured: 1,自用-小貨車;普通重型-機車
A2,2016-01-12 00:50,臺北市士林區中正路626號前0公尺數臺北市士林區中正路626號,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2016-01-15 09:51,臺北市士林區中正路425號前0公尺數臺北市士林區中正路425號,deaths: 0;injured: 1,自用-小客車;自用-小客車
A2,2016-01-16 08:25,臺北市士林區中正路425號前0公尺數臺北市士林區中正路425號,deaths: 0;injured: 2,普通重型-機車;腳踏自行車-慢車
A2,2016-01-17 15:02,臺北市士林區中正路前0公尺數臺北市士林區中正路與福港街口,deaths: 0;injured: 1,自用-小客車;自用-小客車;自用-小客車;自用-小客車
A2,2016-01-18 21:50,臺北市士林區中正路前0公尺數臺北市士林區中正路與文林路口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-01-19 06:52,臺北市士林區中正路前0公尺數臺北市士林區中正路與文林路口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-01-19 08:42,臺北市士林區中正路前0公尺數臺北市士林區中正路與文昌路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-20 10:40,臺北市士林區中正路前0公尺數臺北市士林區中正路與華興街口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-01-28 07:45,臺北市士林區中正路609號前0公尺數臺北市士林區中正路609號,deaths: 0;injured: 2,自用-小客車;普通重型-機車;其他車-其他車;其他車-其他車;普通重型-機車
A2,2016-01-28 18:26,臺北市士林區中正路前0公尺數臺北市士林區中正路與基河路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-01-29 14:28,臺北市士林區中正路511號前0公尺數臺北市士林區中正路511號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-01-30 13:30,臺北市士林區中正路前0公尺數臺北市士林區中正路與文林路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-01-31 11:15,臺北市士林區中正路222號前0公尺數臺北市士林區中正路222號,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-02-08 00:45,臺北市士林區中正路660號前0公尺數臺北市士林區中正路660號,deaths: 0;injured: 2,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-02-13 22:40,臺北市士林區中正路前0公尺數臺北市士林區中正路與文林路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-02-17 11:10,臺北市士林區中正路715號前0公尺數臺北市士林區中正路715號,deaths: 0;injured: 1,普通重型-機車
A2,2016-02-24 22:05,臺北市士林區中正路前0公尺數臺北市士林區中正路與士商路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-02-27 21:35,臺北市士林區中正路前0公尺數臺北市士林區中正路與基河路口,deaths: 0;injured: 2,普通輕型-機車;行人-人
A2,2016-02-28 23:40,臺北市士林區中正路前0公尺數臺北市士林區中正路與志成街口,deaths: 0;injured: 3,普通重型-機車;行人-人;行人-人
A2,2016-03-04 15:01,臺北市士林區承德路5段前0公尺數臺北市士林區承德路5段與中正路口,deaths: 0;injured: 3,普通重型-機車;普通重型-機車;普通重型-機車
A2,2016-03-10 14:50,臺北市士林區中正路前0公尺數臺北市士林區中正路與文林路口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-03-10 17:15,臺北市士林區中正路前0公尺數臺北市士林區中正路與文林路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-03-12 12:14,臺北市士林區中正路前0公尺數臺北市士林區中正路與承德路4段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-03-17 18:39,臺北市士林區百齡橋路前0公尺數臺北市士林區百齡橋與中正路往西001燈桿口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-03-19 21:32,臺北市士林區中正路前0公尺數臺北市士林區中正路與基河路口,deaths: 0;injured: 2,自用-小客車;自用-小客車;自用-小客車;自用-小客車
A2,2016-03-21 16:40,臺北市士林區中正路前0公尺數臺北市士林區中正路與延平北路6段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-03-22 19:36,臺北市士林區中正路前0公尺數臺北市士林區中正路與士商路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-24 19:45,臺北市士林區中正路前0公尺數臺北市士林區中正路與文林路口,deaths: 0;injured: 1,民營客運-大客車;行人-人
A2,2016-03-25 19:25,臺北市士林區中正路前0公尺數臺北市士林區中正路與承德路5段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-03-30 22:41,臺北市士林區中正路前0公尺數臺北市士林區中正路與承德路5段口,deaths: 0;injured: 1,計程車-小客車;大型重型1-機車
A2,2016-04-01 17:03,臺北市士林區中正路前0公尺數臺北市士林區中正路與士商路口,deaths: 0;injured: 2,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-04-03 20:40,臺北市士林區中正路前0公尺數臺北市士林區中正路與士商路口,deaths: 0;injured: 1,租賃車-小客車;普通重型-機車
A2,2016-04-03 23:43,臺北市士林區中正路前0公尺數臺北市士林區中正路與福林路口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-04-05 10:40,臺北市士林區中正路前0公尺數臺北市士林區中正路與志成街口,deaths: 0;injured: 1,自用-小客車;自用-小客車
A2,2016-04-06 11:43,臺北市士林區通河西街2段前0公尺數臺北市士林區通河西街2段與中正路口,deaths: 0;injured: 2,電動輔助自行車-慢車;普通重型-機車
A2,2016-04-07 15:14,臺北市士林區中正路前0公尺數臺北市士林區中正路與延平北路6段口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-10 23:25,臺北市士林區延平北路5段前0公尺數臺北市士林區延平北路5段與中正路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-04-11 22:14,臺北市士林區中正路前0公尺數臺北市士林區中正路百齡橋往社子機車引道,deaths: 0;injured: 1,自用-小貨車;普通輕型-機車
A2,2016-04-12 18:38,臺北市士林區中正路前0公尺數臺北市士林區中正路與志成街口,deaths: 0;injured: 1,自用-小客車;普通重型-機車;普通重型-機車
A2,2016-04-16 19:00,臺北市士林區中正路605號前0公尺數臺北市士林區中正路605號,deaths: 0;injured: 1,其他車-其他車;普通重型-機車
A2,2016-04-20 19:05,臺北市士林區延平北路5段前0公尺數臺北市士林區延平北路5段與中正路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-21 14:10,臺北市士林區中正路606號前0公尺數臺北市士林區中正路606號,deaths: 0;injured: 1,計程車-小客車;普通重型-機車;自用-小客車
A2,2016-04-22 08:00,臺北市士林區中正路前0公尺數臺北市士林區中正路與士商路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-24 12:33,臺北市士林區中山北路5段前0公尺數臺北市士林區中山北路5段與中正路口,deaths: 0;injured: 1,自用-小客車;普通重型-機車
A2,2016-04-26 10:37,臺北市士林區中正路前0公尺數臺北市士林區中正路與士商路口,deaths: 0;injured: 1,自用-小貨車;行人-人
A2,2016-05-01 07:08,臺北市士林區中正路前0公尺數與延平北路6段口,deaths: 0;injured: 1,計程車-小客車;自用-小客車;普通重型-機車
A2,2016-05-01 10:40,臺北市士林區環河北路3段前0公尺數與中正路口,deaths: 0;injured: 5,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
A2,2016-05-02 07:00,臺北市士林區中正路601號前0公尺數601號,deaths: 0;injured: 1,自用-小客車;腳踏自行車-慢車
A2,2016-05-02 13:05,臺北市士林區中正路608號前0公尺數608號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-05-10 08:15,臺北市士林區中正路前0公尺數與志成街口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-05-17 09:40,臺北市士林區中山北路5段前0公尺數與中正路口,deaths: 0;injured: 2,普通重型-機車;普通重型-機車
A2,2016-05-24 00:02,臺北市士林區中正路前0公尺數052燈桿,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-05-25 17:30,臺北市士林區中正路前0公尺數與延平北路6段口,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-05-27 08:57,臺北市士林區中正路前0公尺數與基河路口,deaths: 0;injured: 1,自用-小客車;行人-人
A2,2016-05-27 19:00,臺北市士林區中正路5段前0公尺數與承德路4段口,deaths: 0;injured: 1,普通重型-機車;普通重型-機車
A2,2016-05-30 16:19,臺北市士林區中正路601號前0公尺數601號,deaths: 0;injured: 1,普通重型-機車;自用-小客車
A2,2016-06-10 16:12,臺北市士林區中山北路5段前0公尺數與中正路口,deaths: 0;injured: 1,自用-小客車;行人-人
